PlayerSum,DealerShow,UsableAce,Value
12.0,1.0,0.0,-0.5420353982300885
12.0,1.0,1.0,-0.7692307692307693
12.0,2.0,0.0,-0.2558139534883721
12.0,2.0,1.0,-0.1
12.0,3.0,0.0,-0.24839400428265523
12.0,3.0,1.0,-0.32
12.0,4.0,0.0,-0.24074074074074073
12.0,4.0,1.0,-0.13043478260869565
12.0,5.0,0.0,-0.29336188436830835
12.0,5.0,1.0,-0.5
12.0,6.0,0.0,-0.19327731092436976
12.0,6.0,1.0,-0.16
12.0,7.0,0.0,-0.3354564755838641
12.0,7.0,1.0,-0.15151515151515152
12.0,8.0,0.0,-0.35490605427974947
12.0,8.0,1.0,-0.13333333333333333
12.0,9.0,0.0,-0.3504273504273504
12.0,9.0,1.0,-0.28
12.0,10.0,0.0,-0.4050913115661317
12.0,10.0,1.0,-0.3924050632911392
13.0,1.0,0.0,-0.5657620041753654
13.0,1.0,1.0,-0.46808510638297873
13.0,2.0,0.0,-0.3403361344537815
13.0,2.0,1.0,-0.25
13.0,3.0,0.0,-0.226215644820296
13.0,3.0,1.0,-0.2708333333333333
13.0,4.0,0.0,-0.32553191489361705
13.0,4.0,1.0,-0.1276595744680851
13.0,5.0,0.0,-0.19517102615694165
13.0,5.0,1.0,-0.09523809523809523
13.0,6.0,0.0,-0.2074688796680498
13.0,6.0,1.0,-0.3157894736842105
13.0,7.0,0.0,-0.35306122448979593
13.0,7.0,1.0,-0.30303030303030304
13.0,8.0,0.0,-0.31910569105691056
13.0,8.0,1.0,-0.2727272727272727
13.0,9.0,0.0,-0.4106776180698152
13.0,9.0,1.0,-0.2564102564102564
13.0,10.0,0.0,-0.4440278521692555
13.0,10.0,1.0,-0.2774869109947644
14.0,1.0,0.0,-0.6206896551724138
14.0,1.0,1.0,-0.5217391304347826
14.0,2.0,0.0,-0.36237623762376237
14.0,2.0,1.0,-0.13333333333333333
14.0,3.0,0.0,-0.3380855397148676
14.0,3.0,1.0,0.04081632653061224
14.0,4.0,0.0,-0.3277310924369748
14.0,4.0,1.0,-0.2619047619047619
14.0,5.0,0.0,-0.3264887063655031
14.0,5.0,1.0,0.0
14.0,6.0,0.0,-0.2901023890784983
14.0,6.0,1.0,-0.2608695652173913
14.0,7.0,0.0,-0.35668789808917195
14.0,7.0,1.0,0.0
14.0,8.0,0.0,-0.388560157790927
14.0,8.0,1.0,-0.34545454545454546
14.0,9.0,0.0,-0.44664031620553357
14.0,9.0,1.0,-0.2826086956521739
14.0,10.0,0.0,-0.4546908315565032
14.0,10.0,1.0,-0.3333333333333333
15.0,1.0,0.0,-0.5909090909090909
15.0,1.0,1.0,-0.4878048780487805
15.0,2.0,0.0,-0.3582995951417004
15.0,2.0,1.0,-0.42105263157894735
15.0,3.0,0.0,-0.35969868173258
15.0,3.0,1.0,-0.26
15.0,4.0,0.0,-0.3333333333333333
15.0,4.0,1.0,-0.3488372093023256
15.0,5.0,0.0,-0.35020242914979755
15.0,5.0,1.0,-0.16981132075471697
15.0,6.0,0.0,-0.2833333333333333
15.0,6.0,1.0,0.0
15.0,7.0,0.0,-0.3712574850299401
15.0,7.0,1.0,-0.41304347826086957
15.0,8.0,0.0,-0.44981412639405205
15.0,8.0,1.0,-0.18333333333333332
15.0,9.0,0.0,-0.40733590733590735
15.0,9.0,1.0,-0.5434782608695652
15.0,10.0,0.0,-0.5102469784550709
15.0,10.0,1.0,-0.32608695652173914
16.0,1.0,0.0,-0.6394927536231884
16.0,1.0,1.0,-0.6166666666666667
16.0,2.0,0.0,-0.4043824701195219
16.0,2.0,1.0,-0.37735849056603776
16.0,3.0,0.0,-0.34615384615384615
16.0,3.0,1.0,-0.24444444444444444
16.0,4.0,0.0,-0.365234375
16.0,4.0,1.0,-0.3090909090909091
16.0,5.0,0.0,-0.3754863813229572
16.0,5.0,1.0,-0.24390243902439024
16.0,6.0,0.0,-0.3209647495361781
16.0,6.0,1.0,-0.3673469387755102
16.0,7.0,0.0,-0.37153419593345655
